"latitude","longitude","specific_humidity","surface_pressure","temperature"
"-22.923958","345.07635","0.01028497","102710.86","294.92383"
"-17.026218","348.0127","0.011234829","102182.86","295.56445"
"-28.849104","343.03003","0.009563992","102918.86","291.67383"
"25.663183","264.51617","0.020287106","101662.86","303.12695"
"24.125502","267.3625","0.019249508","101678.86","303.17383"
"26.545473","269.80716","0.018631527","101838.86","303.5957"
"15.128079","262.591","0.020248959","101102.86","303.31445"
"14.385314","289.67822","0.01985223","101398.86","301.92383"
"12.46791","287.39557","0.020638058","100950.86","300.56445"
"-17.241085","345.4305","0.011677334","102206.86","295.5332"
"-23.247318","342.35593","0.0101476405","102758.86","295.23633"
"-29.019672","340.2378","0.009342739","102966.86","292.67383"
"33.565086","233.13545","0.010922024","101550.86","291.9082"
"36.58898","234.98842","0.010376522","101366.86","289.9707"
"34.57728","233.58177","0.010792324","101462.86","291.39258"
"14.802986","138.42319","0.019562313","101366.86","303.1582"
"18.810001","133.82709","0.019760678","101526.86","303.23633"
"-35.244324","26.51645","0.008652279","101286.86","292.81445"
"-36.45763","29.462276","0.008846829","100830.86","291.42383"
"-29.838507","31.84244","0.010002682","101510.86","294.39258"
"-22.259697","99.717926","0.008743832","101806.86","295.31445"
"-17.798246","99.818726","0.010628292","101678.86","297.61133"
"-15.383619","98.182175","0.012928555","101518.86","299.54883"
"-29.029333","340.25858","0.009342739","102966.86","292.67383"
"-23.256197","342.3756","0.010197232","102790.86","295.12695"
"-35.246445","26.549253","0.008652279","101286.86","292.81445"
"26.531065","269.83252","0.018631527","101838.86","303.5957"
"-29.839231","31.873274","0.010002682","101510.86","294.39258"
"-17.25869","345.4696","0.011452267","102254.86","295.4082"
"32.354485","229.98312","0.010353634","101830.86","293.3457"
"-28.868734","343.0713","0.009563992","102918.86","291.67383"
"-25.46368","340.5336","0.009228298","102918.86","294.08008"
"-17.043854","348.05157","0.011234829","102182.86","295.56445"
"18.833326","133.8626","0.019760678","101526.86","303.23633"
"14.361645","289.71265","0.019699642","101414.86","302.04883"
"15.110981","262.629","0.020248959","101102.86","303.31445"
"-36.458965","29.518713","0.008846829","100830.86","291.42383"
"36.581245","235.04434","0.010376522","101366.86","289.9707"
"33.559166","233.18939","0.010922024","101550.86","291.9082"
"14.829075","138.4616","0.019829342","101358.86","303.17383"
"34.570187","233.63643","0.010792324","101462.86","291.39258"
"-22.236795","99.759636","0.008770535","101798.86","295.50195"
"25.641449","264.56067","0.020287106","101662.86","303.12695"
"12.440821","287.4336","0.020638058","100950.86","300.56445"
"-15.360949","98.22214","0.012928555","101518.86","299.54883"
"-17.77485","99.85875","0.010628292","101678.86","297.61133"
"24.101685","267.40524","0.019249508","101678.86","303.17383"
"-22.943964","345.11963","0.01028497","102710.86","294.92383"
"-25.201326","343.26266","0.009972164","102870.86","294.50195"
"-25.473068","340.5532","0.009228298","102918.86","294.08008"
"-29.05186","340.30704","0.009342739","102966.86","292.67383"
"-25.207697","343.27557","0.009972164","102870.86","294.50195"
"-22.953968","345.1413","0.01028497","102710.86","294.92383"
"-36.459717","29.551167","0.008846829","100830.86","291.42383"
"-23.279848","342.42807","0.010197232","102790.86","295.12695"
"-29.840631","31.934954","0.010002682","101510.86","294.39258"
"-17.061476","348.09042","0.011234829","102182.86","295.56445"
"-17.28212","345.52173","0.011452267","102254.86","295.4082"
"36.57271","235.10582","0.010376522","101366.86","289.9707"
"18.864399","133.90994","0.019760678","101526.86","303.23633"
"14.857769","138.50385","0.019829342","101358.86","303.17383"
"14.330067","289.75854","0.019699642","101414.86","302.04883"
"15.088156","262.6797","0.020248959","101102.86","303.31445"
"12.411017","287.47543","0.020638058","100950.86","300.56445"
"26.495018","269.89587","0.018631527","101838.86","303.5957"
"-28.89487","343.12628","0.009563992","102918.86","291.67383"
"24.075474","267.4523","0.019249508","101678.86","303.17383"
"-17.7491","99.902756","0.010868618","101646.86","298.1582"
"25.617529","264.6096","0.020287106","101662.86","303.12695"
"-22.211594","99.80551","0.008770535","101798.86","295.50195"
"-15.336004","98.26609","0.012928555","101518.86","299.54883"
"34.561916","233.69983","0.010792324","101462.86","291.39258"
"33.55225","233.25197","0.010922024","101550.86","291.9082"
"11.739185","140.79373","0.019447872","101270.86","303.00195"
"-17.736814","99.92377","0.010868618","101646.86","298.1582"
"-36.461178","29.61467","0.008846829","100830.86","291.42383"
"-22.186384","99.851364","0.008770535","101798.86","295.50195"
"14.298491","289.8044","0.019699642","101414.86","302.04883"
"-29.842323","32.0121","0.010002682","101510.86","294.39258"
"12.378504","287.52106","0.020638058","100950.86","300.56445"
"33.545437","233.31346","0.010922024","101550.86","291.9082"
"24.046871","267.5036","0.019249508","101678.86","303.17383"
"26.466167","269.94656","0.018631527","101838.86","303.5957"
"-28.920994","343.18134","0.009563992","102918.86","291.67383"
"18.895496","133.9573","0.019760678","101526.86","303.23633"
"-15.3087845","98.314026","0.012928555","101518.86","299.54883"
"15.065294","262.73035","0.020248959","101102.86","303.31445"
"14.889065","138.54996","0.019829342","101358.86","303.17383"
"-17.090843","348.1552","0.011234829","102182.86","295.56445"
"34.553772","233.76213","0.010792324","101462.86","291.39258"
"-25.245895","343.3531","0.009972164","102870.86","294.50195"
"36.56337","235.17284","0.010376522","101366.86","289.9707"
"25.591423","264.6629","0.020287106","101662.86","303.12695"
"11.76575","140.83109","0.019447872","101278.86","302.92383"
"-22.99395","345.2279","0.01028497","102710.86","294.92383"
"-22.173779","99.87429","0.008770535","101798.86","295.50195"
"-36.4627","29.68241","0.008846829","100830.86","291.42383"
"11.779033","140.84976","0.019447872","101278.86","302.92383"
"-17.694304","99.99634","0.010868618","101646.86","298.1582"
"14.26693","289.85028","0.019699642","101414.86","302.04883"
"12.345987","287.56668","0.020638058","100950.86","300.56445"
"-17.114277","348.20706","0.011234829","102182.86","295.56445"
"-28.947105","343.2364","0.009563992","102918.86","291.67383"
"25.565302","264.71622","0.02011926","101678.86","303.18945"
"18.926575","134.0047","0.019760678","101526.86","303.23633"
"36.553986","235.23985","0.010376522","101366.86","289.9707"
"14.920359","138.5961","0.019829342","101358.86","303.17383"
"24.018236","267.55487","0.019249508","101678.86","303.17383"
"33.53823","233.37817","0.010922024","101550.86","291.9082"
"15.042442","262.78094","0.020248959","101102.86","303.31445"
