,Unnamed: 0,Latittude,Longitude,pressure,wind_speed,humidity,temperature,mss
0,0,14.777475,291.6879,101398.86,3.9896886,0.01985223,301.92383,0.009458602
1,1,10.5304165,132.4267,101270.86,10.420111,0.019447872,303.00195,0.024335537
2,2,14.97732,130.33472,101366.86,9.573011,0.019562313,303.1582,0.024469651
4,4,11.44754,263.205,101094.86,4.399521,0.018997738,303.06445,0.010425906
5,5,22.323154,265.46652,101678.86,3.0240288,0.019249508,303.17383,0.006896703
6,6,23.554115,271.06497,101678.86,0.7876099,0.019249508,303.17383,0.001201452
7,7,32.816788,214.49232,101550.86,1.3496743,0.010922024,291.9082,0.00226844
8,8,30.91276,224.43788,101830.86,5.7504187,0.010353634,293.3457,0.013650601
9,9,35.234848,229.14435,101550.86,7.156373,0.010922024,291.9082,0.01709875
10,10,-27.269335,39.73149,101278.86,5.748806,0.012489865,294.48633,0.014709545
11,11,-28.858042,43.46675,101510.86,6.310574,0.010002682,294.39258,0.01671408
12,12,-36.058254,41.700672,101286.86,5.056378,0.008652279,292.81445,0.013991142
13,13,32.81484,214.51654,101550.86,1.3366218,0.010922024,291.9082,0.002204287
14,14,14.754046,291.72232,101398.86,4.05011,0.01985223,301.92383,0.009994776
15,15,23.53122,271.10138,101678.86,0.7890151,0.019249508,303.17383,0.001178333
16,16,11.428423,263.2414,101094.86,4.3952923,0.018997738,303.06445,0.010135603
17,17,-28.85331,43.512383,101510.86,6.8114715,0.010002682,294.39258,0.017582215
18,18,-27.26582,39.776836,101278.86,6.361564,0.012489865,294.48633,0.017964356
19,19,15.003467,130.37343,101366.86,9.692007,0.019562313,303.1582,0.024572201
20,20,10.557301,132.46442,101270.86,10.391237,0.019447872,303.00195,0.02477337
21,21,30.901283,224.48889,101830.86,5.7801576,0.010353634,293.3457,0.01383143
22,22,35.22198,229.19801,101550.86,7.768492,0.010922024,291.9082,0.018578805
23,23,22.29993,265.50854,101678.86,2.9314249,0.019249508,303.17383,0.006639183
24,24,-36.053017,41.756306,101286.86,4.7644916,0.008652279,292.81445,0.01320546
25,25,3.599924,121.964745,101262.86,3.3743262,0.018486569,303.0957,0.007970555
26,26,5.738562,115.34783,101190.86,2.934134,0.018013546,302.64258,0.006519961
